Drug1,Drug2,Cell_line,Loewe
DB09074,DB11689,ACH-000384,-4.808091
DB11689,DB02546,ACH-000384,-10.23969
DB09074,DB02546,ACH-000384,10.51917
DB11689,DB02546,ACH-000720,24.35461
DB09074,DB02546,ACH-000720,26.04315
DB09074,DB11689,ACH-000720,32.22676
DB11689,DB02546,ACH-000018,-7.503254
DB09074,DB11689,ACH-000018,16.36055
DB09074,DB02546,ACH-000018,-16.14572
DB09074,DB02546,ACH-000522,11.96227
DB09074,DB11689,ACH-000522,3.744975
DB11689,DB02546,ACH-000522,-19.35798
DB11689,DB08916,ACH-000374,52.58064
DB09074,DB11689,ACH-000374,21.89939
DB12015,DB11689,ACH-000374,30.04414
DB11689,DB08916,ACH-000111,24.06469
DB12015,DB11689,ACH-000111,86.12753
DB09074,DB11689,ACH-000111,25.77168
DB09074,DB11689,ACH-000699,4.413948
DB11689,DB08916,ACH-000699,18.44785
DB12015,DB11689,ACH-000699,16.91941
DB12015,DB11689,ACH-000223,13.11135
DB11689,DB08916,ACH-000223,38.84389
DB09074,DB11689,ACH-000223,14.84472
DB11689,DB08916,ACH-000276,17.32624
DB12015,DB11689,ACH-000276,13.85076
DB09074,DB11689,ACH-000276,15.2536
DB09074,DB02546,ACH-000396,15.32469
DB09074,DB11689,ACH-000396,0.8093844
DB11689,DB02546,ACH-000396,-1.760711
DB09074,DB11689,ACH-000971,38.42253
DB05294,DB11689,ACH-000971,-463.7951
DB05294,DB11689,ACH-000552,65.47378
DB09074,DB01590,ACH-000147,2.724216
DB09074,DB06287,ACH-000147,-1.810637
DB09054,DB09074,ACH-000147,23.10432
DB00188,DB09074,ACH-000147,-6.493549
DB00188,DB00317,ACH-000147,-0.5325021
DB11689,DB02546,ACH-000147,17.5707
DB09074,DB06448,ACH-000147,-14.41548
DB11689,DB00947,ACH-000147,13.30189
DB06233,DB00317,ACH-000147,0.2629907
DB09074,DB00947,ACH-000147,-7.383657
DB09074,DB06233,ACH-000147,-4.855682
DB08889,DB09074,ACH-000147,-11.31248
DB08889,DB11689,ACH-000147,1.7802
DB09054,DB11689,ACH-000147,28.69852
DB11689,DB00608,ACH-000147,-25.06931
DB09074,DB00675,ACH-000147,14.79945
DB00317,DB00608,ACH-000147,-20.147
DB09074,DB00928,ACH-000147,37.12158
DB08865,DB11689,ACH-000147,30.82583
DB00675,DB00317,ACH-000147,11.39236
DB06287,DB11689,ACH-000147,45.07368
DB08865,DB00317,ACH-000147,38.40744
DB01590,DB11689,ACH-000147,45.24571
DB06233,DB11689,ACH-000147,38.82661
DB00317,DB00928,ACH-000147,3.152738
DB09054,DB00317,ACH-000147,11.37821
DB06287,DB00317,ACH-000147,7.656669
DB01590,DB00317,ACH-000147,17.32874
DB11689,DB06448,ACH-000147,29.36162
DB11689,DB00675,ACH-000147,58.51056
DB08889,DB00317,ACH-000147,-3.484268
DB06448,DB00317,ACH-000147,27.16323
DB00188,DB11689,ACH-000147,0.9698999
DB00947,DB00317,ACH-000147,-22.97384
DB11689,DB00928,ACH-000147,14.67001
DB09074,DB02546,ACH-000147,-373.361
DB09054,DB11689,ACH-000019,23.64955
DB08865,DB00317,ACH-000019,22.76336
DB06233,DB11689,ACH-000019,21.43864
DB09074,DB06448,ACH-000019,28.06311
DB09074,DB00675,ACH-000019,27.378
DB09054,DB00317,ACH-000019,24.29378
DB00317,DB00608,ACH-000019,0.2362256
DB09074,DB00928,ACH-000019,41.98106
DB09074,DB00947,ACH-000019,9.355383
DB00675,DB00317,ACH-000019,25.52243
DB00188,DB11689,ACH-000019,0.5298164
DB06287,DB11689,ACH-000019,22.73288
DB01590,DB11689,ACH-000019,27.68012
DB08889,DB09074,ACH-000019,-0.1001675
DB00188,DB09074,ACH-000019,0.009701459
DB00317,DB00928,ACH-000019,-0.3446404
DB11689,DB00947,ACH-000019,63.43055
DB08889,DB11689,ACH-000019,0.656989
DB09074,DB08865,ACH-000019,-1.211266
DB08865,DB11689,ACH-000019,10.3263
DB06233,DB00317,ACH-000019,5.881794
DB11689,DB02546,ACH-000019,32.96191
DB09074,DB00608,ACH-000019,-3.899619
DB01590,DB00317,ACH-000019,12.65723
DB11689,DB00675,ACH-000019,78.28401
DB09074,DB06287,ACH-000019,6.767464
DB09074,DB06233,ACH-000019,7.878055
DB11689,DB00928,ACH-000019,37.01866
DB11689,DB00608,ACH-000019,-1.439973
DB06448,DB00317,ACH-000019,18.28717
DB09054,DB09074,ACH-000019,9.951289
DB09074,DB02546,ACH-000019,3.734453
DB00947,DB00317,ACH-000019,15.17539
DB02546,DB00317,ACH-000019,9.624976
DB11689,DB06448,ACH-000019,17.52883
DB08889,DB00317,ACH-000019,0.1187095
DB09074,DB01590,ACH-000019,14.55275
DB00188,DB00317,ACH-000019,-0.3387847
DB06287,DB00317,ACH-000019,8.19208
DB11689,DB08916,ACH-000288,-5.554851
DB09074,DB11689,ACH-000288,8.742387
DB12015,DB11689,ACH-000288,7.754334
DB11689,DB08916,ACH-000148,-27.19919
DB09074,DB11689,ACH-000148,15.11696
DB12015,DB11689,ACH-000148,10.50431
DB09074,DB11689,ACH-000768,13.91307
DB11689,DB08916,ACH-000768,20.14626
DB12015,DB11689,ACH-000768,40.67861
DB05294,DB11689,ACH-001039,2.040458
DB09074,DB11689,ACH-001039,9.601161
DB05294,DB11689,ACH-000651,12.82171
DB12015,DB11689,ACH-002159,40.32936
DB11689,DB08916,ACH-002159,32.81099
DB09074,DB11689,ACH-002159,2.40463
DB09074,DB11689,ACH-000896,29.54453
DB11689,DB02546,ACH-000896,21.35141
DB09074,DB02546,ACH-000896,17.14573
DB12015,DB11689,ACH-000536,54.16375
DB11689,DB08916,ACH-000536,53.61903
DB09074,DB11689,ACH-000536,8.212417
DB09074,DB11689,ACH-000212,-18.07161
DB11689,DB08916,ACH-000212,6.416326
DB05294,DB11689,ACH-000580,26.51374
DB12015,DB11689,ACH-000258,40.39499
DB09074,DB11689,ACH-000258,26.75245
DB11689,DB08916,ACH-000258,35.978
DB00317,DB00608,ACH-000277,-33.59685
DB09054,DB00317,ACH-000277,-2.82384
DB11689,DB02546,ACH-000277,-11.08078
DB09074,DB00675,ACH-000277,-0.1039816
DB00317,DB00928,ACH-000277,10.11844
DB08889,DB00317,ACH-000277,-2.337164
DB11689,DB00947,ACH-000277,27.09161
DB06287,DB00317,ACH-000277,29.01981
DB06448,DB00317,ACH-000277,-9.457953
DB09074,DB01590,ACH-000277,23.90399
DB02546,DB00317,ACH-000277,2.087635
DB00188,DB09074,ACH-000277,4.460739
