Drug1,Drug2,Cell_line,Loewe
DB00140,DB08877,ACH-000702,-20.7
DB00170,DB08877,ACH-000702,-11.11
DB00188,DB00262,ACH-000002,1.2
DB00188,DB00262,ACH-000019,-10.5
DB00188,DB00262,ACH-000046,-66.27
DB00188,DB00262,ACH-000090,-7.85
DB00188,DB00262,ACH-000147,-43.46
DB00188,DB00262,ACH-000148,-40.81
DB00188,DB00262,ACH-000232,-44.4
DB00188,DB00262,ACH-000273,-30.03
DB00188,DB00262,ACH-000288,-1.56
DB00188,DB00262,ACH-000343,-29.77
DB00188,DB00262,ACH-000367,-11.15
DB00188,DB00262,ACH-000376,-25.96
DB00188,DB00262,ACH-000425,-41.91
DB00188,DB00262,ACH-000428,-68.98
DB00188,DB00262,ACH-000433,-38.54
DB00188,DB00262,ACH-000477,-25.34
DB00188,DB00262,ACH-000551,-0.95
DB00188,DB00262,ACH-000579,-31.22
DB00188,DB00262,ACH-000615,-46.3
DB00188,DB00262,ACH-000617,-31.67
DB00188,DB00262,ACH-000649,-40.95
DB00188,DB00262,ACH-000651,-13.33
DB00188,DB00262,ACH-000655,-29.11
DB00188,DB00262,ACH-000696,-56.18
DB00188,DB00262,ACH-000706,-39.76
DB00188,DB00262,ACH-000730,-32.57
DB00188,DB00262,ACH-000750,-33.94
DB00188,DB00262,ACH-000768,-14.32
DB00188,DB00262,ACH-000811,-42.82
DB00188,DB00262,ACH-000825,-32.81
DB00188,DB00262,ACH-000849,-41.12
DB00188,DB00262,ACH-000861,-61.67
DB00188,DB00262,ACH-000900,-38.2
DB00188,DB00262,ACH-000971,-30.61
DB00188,DB00262,ACH-000997,1.48
DB00188,DB00262,ACH-001151,-60.69
DB00188,DB00262,ACH-001190,-13.7
DB00188,DB00290,ACH-000001,1.32
DB00188,DB00290,ACH-000002,-25.14
DB00188,DB00290,ACH-000019,-0.33
DB00188,DB00290,ACH-000046,-0.6
DB00188,DB00290,ACH-000090,-9.3
DB00188,DB00290,ACH-000148,2.92
DB00188,DB00290,ACH-000232,1.18
DB00188,DB00290,ACH-000273,6.61
DB00188,DB00290,ACH-000288,4.73
DB00188,DB00290,ACH-000343,7.77
DB00188,DB00290,ACH-000367,5.27
DB00188,DB00290,ACH-000376,0.63
DB00188,DB00290,ACH-000425,4.86
DB00188,DB00290,ACH-000428,-0.86
DB00188,DB00290,ACH-000433,1.32
DB00188,DB00290,ACH-000463,5.45
DB00188,DB00290,ACH-000477,-0.64
DB00188,DB00290,ACH-000551,-12.11
DB00188,DB00290,ACH-000552,-8.51
DB00188,DB00290,ACH-000555,2.92
DB00188,DB00290,ACH-000579,-36.09
DB00188,DB00290,ACH-000615,1.66
DB00188,DB00290,ACH-000617,0.05
DB00188,DB00290,ACH-000649,1.06
DB00188,DB00290,ACH-000651,6.77
DB00188,DB00290,ACH-000655,6.88
DB00188,DB00290,ACH-000681,5.48
DB00188,DB00290,ACH-000696,-1.44
DB00188,DB00290,ACH-000706,2.2
DB00188,DB00290,ACH-000730,6.47
DB00188,DB00290,ACH-000750,3.36
DB00188,DB00290,ACH-000768,3.1
DB00188,DB00290,ACH-000811,-3.76
DB00188,DB00290,ACH-000825,-0.41
DB00188,DB00290,ACH-000849,-5.76
DB00188,DB00290,ACH-000861,3.71
DB00188,DB00290,ACH-000900,-3.98
DB00188,DB00290,ACH-000966,6.38
DB00188,DB00290,ACH-000969,-13.86
DB00188,DB00290,ACH-000997,-9.72
DB00188,DB00290,ACH-001151,-2.47
DB00188,DB00307,ACH-000008,11.84
DB00188,DB00307,ACH-000219,-0.15
DB00188,DB00307,ACH-000304,-41.47
DB00188,DB00307,ACH-000348,-34.28
DB00188,DB00307,ACH-000401,-20.92
DB00188,DB00307,ACH-000425,-6.29
DB00188,DB00307,ACH-000572,12.32
DB00188,DB00307,ACH-000579,-7.97
DB00188,DB00307,ACH-000614,-12.08
DB00188,DB00307,ACH-000615,-24.54
DB00188,DB00307,ACH-000644,13.45
DB00188,DB00307,ACH-000730,-38.43
DB00188,DB00307,ACH-000750,18.2
DB00188,DB00307,ACH-000788,-12.56
