"","pathway","genes"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY","GOBP_2FE_2S_CLUSTER_ASSEMBLY","BOLA2,BOLA2B,FDX2,FXN,GLRX3,GLRX5,HSCB,ISCU,LYRM4,NDUFAB1,NFS1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","AADAT,ADHFE1,COL6A1,D2HGDH,DLST,GOT1,GOT2,GPT2,IDH1,IDH2,KYAT3,L2HGDH,MRPS36,OGDH,OGDHL,PHYH,TAT"
"GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","ABHD14B,BPNT1,ENPP1,PAPSS1,PAPSS2,SULT1A1,SULT1A2,SULT1A3,SULT1A4,SULT1B1,SULT1C3,SULT1C4,SULT1E1,SULT2A1,SULT2B1,TPST1,TPST2"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","CPEB3,DHX36,DND1,HNRNPD,KHSRP,MOV10,PLEKHN1,PUM1,PUM2,RBM24,RC3H1,TARDBP,TRIM71,UPF1,ZC3H12A,ZC3H12D,ZFP36,ZFP36L1,ZFP36L2"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","ANGEL2,BOLL,DAZ1,DAZ2,DAZ3,DAZ4,DAZL,ELAVL1,ELAVL4,HNRNPA0,HNRNPC,LARP4B,MAPK14,MAPKAPK2,METTL16,MYD88,QKI,RBM10,RBM24,RBM47,TARDBP,TENT4A,TENT4B,TIRAP,YBX3,ZFP36"
"GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS","GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS","ALDH4A1,EGLN1,EGLN2,EGLN3,GOT2,HOGA1,P4HA1,P4HA2,P4HA3,P4HB,P4HTM,PRODH"
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III","GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III","GTF3C1,GTF3C2,GTF3C3,GTF3C4,GTF3C5,GTF3C6"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS","GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS","PRPS1,PRPS1L1,PRPS2,PRPSAP1,PRPSAP2,PYGL"
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION","GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION","SNRPB,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,TGS1"
"GOBP_7_METHYLGUANOSINE_RNA_CAPPING","GOBP_7_METHYLGUANOSINE_RNA_CAPPING","CMTR1,CMTR2,NCBP1,NCBP3,RAMAC,RAMACL,RNGTT,RNMT"
