drugbank_id,drug_name,drug_FDA,atc_code
DB00001,Lepirudin,approved,B01AE02
DB00002,Cetuximab,approved,L01FE01
DB00003,Dornase alfa,approved,R05CB13
DB00004,Denileukin diftitox,approved,L01XX29
DB00005,Etanercept,approved,L04AB01
DB00006,Bivalirudin,approved,B01AE06
DB00007,Leuprolide,approved,L02AE51
DB00007,Leuprolide,approved,L02AE02
DB00008,Peginterferon alfa-2a,approved,L03AB11
DB00008,Peginterferon alfa-2a,approved,L03AB61
DB00009,Alteplase,approved,B01AD02
DB00009,Alteplase,approved,S01XA13
DB00010,Sermorelin,approved,V04CD03
DB00010,Sermorelin,approved,H01AC04
DB00011,Interferon alfa-n1,approved,L03AB06
DB00012,Darbepoetin alfa,approved,B03XA02
DB00013,Urokinase,approved,B01AD04
DB00014,Goserelin,approved,L02AE03
DB00015,Reteplase,approved,B01AD07
DB00016,Erythropoietin,approved,B03XA01
DB00017,Salmon calcitonin,approved,H05BA01
DB00018,Interferon alfa-n3,approved,
DB00019,Pegfilgrastim,approved,L03AA13
DB00020,Sargramostim,approved,L03AA09
DB00022,Peginterferon alfa-2b,approved,L03AB10
DB00022,Peginterferon alfa-2b,approved,L03AB60
DB00023,Asparaginase Escherichia coli,approved,L01XX02
DB00024,Thyrotropin alfa,approved,H01AB01
DB00025,"Antihemophilic factor, human recombinant",approved,B02BD02
DB00026,Anakinra,approved,L04AC03
DB00027,Gramicidin D,approved,R02AB30
DB00028,Human immunoglobulin G,approved,
DB00029,Anistreplase,approved,B01AD03
DB00030,Insulin human,approved,A10AC01
DB00030,Insulin human,approved,A10AE01
DB00030,Insulin human,approved,A10AB01
DB00030,Insulin human,approved,A10AD01
DB00030,Insulin human,approved,A10AF01
DB00031,Tenecteplase,approved,B01AD11
DB00032,Menotropins,approved,G03GA02
DB00032,Menotropins,approved,G03GA03
DB00033,Interferon gamma-1b,approved,
DB00034,Interferon alfa-2a,approved,L03AB04
DB00035,Desmopressin,approved,H01BA02
DB00036,Coagulation factor VIIa Recombinant Human,approved,B02BD08
DB00038,Oprelvekin,approved,L03AC02
DB00039,Palifermin,approved,V03AF08
