drugbank_id,drug_name,type,drug_FDA,uniprot_id,target_name,gene_name
DB00001,Lepirudin,biotech,approved,P00734,Prothrombin,F2
DB00002,Cetuximab,biotech,approved,P00533,Epidermal growth factor receptor,EGFR
DB00002,Cetuximab,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00002,Cetuximab,biotech,approved,P02745,Complement C1q subcomponent subunit A,C1QA
DB00002,Cetuximab,biotech,approved,P02746,Complement C1q subcomponent subunit B,C1QB
DB00002,Cetuximab,biotech,approved,P02747,Complement C1q subcomponent subunit C,C1QC
DB00002,Cetuximab,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00002,Cetuximab,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00002,Cetuximab,biotech,approved,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00004,Denileukin diftitox,biotech,approved,P01589,Interleukin-2 receptor subunit alpha,IL2RA
DB00004,Denileukin diftitox,biotech,approved,P14784,Interleukin-2 receptor subunit beta,IL2RB
DB00004,Denileukin diftitox,biotech,approved,P31785,Cytokine receptor common subunit gamma,IL2RG
DB00005,Etanercept,biotech,approved,P01375,Tumor necrosis factor,TNF
DB00005,Etanercept,biotech,approved,P01374,Lymphotoxin-alpha,LTA
DB00005,Etanercept,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00005,Etanercept,biotech,approved,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00005,Etanercept,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00005,Etanercept,biotech,approved,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C
DB00005,Etanercept,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00005,Etanercept,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00006,Bivalirudin,small molecule,approved,P00734,Prothrombin,F2
DB00007,Leuprolide,small molecule,approved,P30968,Gonadotropin-releasing hormone receptor,GNRHR
DB00008,Peginterferon alfa-2a,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00008,Peginterferon alfa-2a,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00009,Alteplase,biotech,approved,P00747,Plasminogen,PLG
DB00009,Alteplase,biotech,approved,P02671,Fibrinogen alpha chain,FGA
DB00009,Alteplase,biotech,approved,P02679,Fibrinogen gamma chain,FGG
DB00009,Alteplase,biotech,approved,P05121,Plasminogen activator inhibitor 1,SERPINE1
DB00010,Sermorelin,biotech,approved,Q02643,Growth hormone-releasing hormone receptor,GHRHR
DB00011,Interferon alfa-n1,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00011,Interferon alfa-n1,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00012,Darbepoetin alfa,biotech,approved,P19235,Erythropoietin receptor,EPOR
DB00013,Urokinase,biotech,approved,P00747,Plasminogen,PLG
DB00013,Urokinase,biotech,approved,Q03405,Urokinase plasminogen activator surface receptor,PLAUR
DB00013,Urokinase,biotech,approved,P05121,Plasminogen activator inhibitor 1,SERPINE1
DB00013,Urokinase,biotech,approved,P05120,Plasminogen activator inhibitor 2,SERPINB2
DB00013,Urokinase,biotech,approved,P05154,Plasma serine protease inhibitor,SERPINA5
DB00013,Urokinase,biotech,approved,P98164,Low-density lipoprotein receptor-related protein 2,LRP2
DB00013,Urokinase,biotech,approved,Q9Y5Y6,Suppressor of tumorigenicity 14 protein,ST14
DB00013,Urokinase,biotech,approved,P14543,Nidogen-1,NID1
DB00014,Goserelin,small molecule,approved,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR
DB00014,Goserelin,small molecule,approved,P30968,Gonadotropin-releasing hormone receptor,GNRHR
DB00015,Reteplase,biotech,approved,P00747,Plasminogen,PLG
DB00015,Reteplase,biotech,approved,P02671,Fibrinogen alpha chain,FGA
DB00015,Reteplase,biotech,approved,P05121,Plasminogen activator inhibitor 1,SERPINE1
DB00016,Erythropoietin,biotech,approved,P19235,Erythropoietin receptor,EPOR
DB00017,Salmon calcitonin,biotech,approved,P30988,Calcitonin receptor,CALCR
DB00018,Interferon alfa-n3,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00018,Interferon alfa-n3,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00019,Pegfilgrastim,biotech,approved,Q99062,Granulocyte colony-stimulating factor receptor,CSF3R
DB00020,Sargramostim,biotech,approved,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA
DB00020,Sargramostim,biotech,approved,P26951,Interleukin-3 receptor subunit alpha,IL3RA
DB00020,Sargramostim,biotech,approved,P32927,Cytokine receptor common subunit beta,CSF2RB
DB00020,Sargramostim,biotech,approved,P34741,Syndecan-2,SDC2
DB00020,Sargramostim,biotech,approved,P13727,Bone marrow proteoglycan,PRG2
DB00022,Peginterferon alfa-2b,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00022,Peginterferon alfa-2b,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00024,Thyrotropin alfa,biotech,approved,P16473,Thyrotropin receptor,TSHR
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P00742,Coagulation factor X,F10
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P00740,Coagulation factor IX,F9
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P04275,von Willebrand factor,VWF
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P07307,Asialoglycoprotein receptor 2,ASGR2
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P11021,78 kDa glucose-regulated protein,HSPA5
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P27797,Calreticulin,CALR
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P27824,Calnexin,CANX
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,P49257,Protein ERGIC-53,LMAN1
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1
DB00025,"Antihemophilic factor, human recombinant",biotech,approved,Q8NI22,Multiple coagulation factor deficiency protein 2,MCFD2
DB00026,Anakinra,biotech,approved,P14778,Interleukin-1 receptor type 1,IL1R1
DB00028,Human immunoglobulin G,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00028,Human immunoglobulin G,biotech,approved,Q92637,High affinity immunoglobulin gamma Fc receptor IB,FCGR1B
DB00028,Human immunoglobulin G,biotech,approved,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00028,Human immunoglobulin G,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00028,Human immunoglobulin G,biotech,approved,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C
DB00028,Human immunoglobulin G,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00028,Human immunoglobulin G,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00028,Human immunoglobulin G,biotech,approved,P01024,Complement C3,C3
DB00028,Human immunoglobulin G,biotech,approved,P0C0L4,Complement C4-A,C4A
DB00028,Human immunoglobulin G,biotech,approved,P0C0L5,Complement C4-B,C4B
DB00028,Human immunoglobulin G,biotech,approved,P01031,Complement C5,C5
DB00029,Anistreplase,biotech,approved,P00747,Plasminogen,PLG
DB00029,Anistreplase,biotech,approved,P02671,Fibrinogen alpha chain,FGA
DB00029,Anistreplase,biotech,approved,P05121,Plasminogen activator inhibitor 1,SERPINE1
DB00030,Insulin human,biotech,approved,P06213,Insulin receptor,INSR
DB00030,Insulin human,biotech,approved,P08069,Insulin-like growth factor 1 receptor,IGF1R
DB00030,Insulin human,biotech,approved,P16870,Carboxypeptidase E,CPE
DB00030,Insulin human,biotech,approved,P48745,Protein NOV homolog,NOV
DB00030,Insulin human,biotech,approved,P98164,Low-density lipoprotein receptor-related protein 2,LRP2
DB00030,Insulin human,biotech,approved,Q16270,Insulin-like growth factor-binding protein 7,IGFBP7
DB00031,Tenecteplase,biotech,approved,P00747,Plasminogen,PLG
DB00031,Tenecteplase,biotech,approved,P02671,Fibrinogen alpha chain,FGA
DB00031,Tenecteplase,biotech,approved,Q03405,Urokinase plasminogen activator surface receptor,PLAUR
DB00031,Tenecteplase,biotech,approved,P05121,Plasminogen activator inhibitor 1,SERPINE1
DB00031,Tenecteplase,biotech,approved,P05120,Plasminogen activator inhibitor 2,SERPINB2
DB00031,Tenecteplase,biotech,approved,P05452,Tetranectin,CLEC3B
DB00031,Tenecteplase,biotech,approved,P05787,"Keratin, type II cytoskeletal 8",KRT8
DB00031,Tenecteplase,biotech,approved,P07355,Annexin A2,ANXA2
DB00031,Tenecteplase,biotech,approved,P27797,Calreticulin,CALR
DB00031,Tenecteplase,biotech,approved,P27824,Calnexin,CANX
DB00031,Tenecteplase,biotech,approved,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1
DB00032,Menotropins,biotech,approved,P23945,Follicle-stimulating hormone receptor,FSHR
DB00032,Menotropins,biotech,approved,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR
DB00033,Interferon gamma-1b,biotech,approved,P15260,Interferon gamma receptor 1,IFNGR1
DB00033,Interferon gamma-1b,biotech,approved,P38484,Interferon gamma receptor 2,IFNGR2
DB00034,Interferon alfa-2a,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00034,Interferon alfa-2a,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00035,Desmopressin,small molecule,approved,P30518,Vasopressin V2 receptor,AVPR2
DB00035,Desmopressin,small molecule,approved,P37288,Vasopressin V1a receptor,AVPR1A
DB00035,Desmopressin,small molecule,approved,P47901,Vasopressin V1b receptor,AVPR1B
DB00036,Coagulation factor VIIa Recombinant Human,biotech,approved,P00742,Coagulation factor X,F10
DB00036,Coagulation factor VIIa Recombinant Human,biotech,approved,P13726,Tissue factor,F3
DB00036,Coagulation factor VIIa Recombinant Human,biotech,approved,P10646,Tissue factor pathway inhibitor,TFPI
DB00036,Coagulation factor VIIa Recombinant Human,biotech,approved,P38435,Vitamin K-dependent gamma-carboxylase,GGCX
DB00036,Coagulation factor VIIa Recombinant Human,biotech,approved,P08709,Coagulation factor VII,F7
DB00038,Oprelvekin,biotech,approved,Q14626,Interleukin-11 receptor subunit alpha,IL11RA
DB00039,Palifermin,biotech,approved,P21802,Fibroblast growth factor receptor 2,FGFR2
DB00039,Palifermin,biotech,approved,P11362,Fibroblast growth factor receptor 1,FGFR1
DB00039,Palifermin,biotech,approved,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2
DB00040,Glucagon,biotech,approved,P47871,Glucagon receptor,GCGR
DB00040,Glucagon,biotech,approved,O95838,Glucagon-like peptide 2 receptor,GLP2R
DB00040,Glucagon,biotech,approved,P43220,Glucagon-like peptide 1 receptor,GLP1R
DB00041,Aldesleukin,biotech,approved,P14784,Interleukin-2 receptor subunit beta,IL2RB
DB00041,Aldesleukin,biotech,approved,P01589,Interleukin-2 receptor subunit alpha,IL2RA
DB00041,Aldesleukin,biotech,approved,P31785,Cytokine receptor common subunit gamma,IL2RG
DB00042,Botulinum toxin type B,biotech,approved,P63027,Vesicle-associated membrane protein 2,VAMP2
DB00042,Botulinum toxin type B,biotech,approved,P23763,Vesicle-associated membrane protein 1,VAMP1
DB00042,Botulinum toxin type B,biotech,approved,Q8N9I0,Synaptotagmin-2,SYT2
DB00043,Omalizumab,biotech,approved,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A
DB00043,Omalizumab,biotech,approved,Q01362,High affinity immunoglobulin epsilon receptor subunit beta,MS4A2
DB00044,Lutropin alfa,biotech,approved,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR
DB00045,Lyme disease vaccine (recombinant OspA),biotech,approved,O60603,Toll-like receptor 2,TLR2
DB00046,Insulin lispro,biotech,approved,P06213,Insulin receptor,INSR
DB00046,Insulin lispro,biotech,approved,P08069,Insulin-like growth factor 1 receptor,IGF1R
DB00047,Insulin glargine,biotech,approved,P06213,Insulin receptor,INSR
DB00047,Insulin glargine,biotech,approved,P08069,Insulin-like growth factor 1 receptor,IGF1R
DB00048,Collagenase clostridium histolyticum,biotech,approved,P02452,Collagen alpha-1(I) chain,COL1A1
DB00048,Collagenase clostridium histolyticum,biotech,approved,P02458,Collagen alpha-1(II) chain,COL2A1
DB00048,Collagenase clostridium histolyticum,biotech,approved,P02461,Collagen alpha-1(III) chain,COL3A1
DB00050,Cetrorelix,small molecule,approved,P30968,Gonadotropin-releasing hormone receptor,GNRHR
DB00050,Cetrorelix,small molecule,approved,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR
DB00051,Adalimumab,biotech,approved,P01375,Tumor necrosis factor,TNF
DB00052,Somatotropin,biotech,approved,P10912,Growth hormone receptor,GHR
DB00052,Somatotropin,biotech,approved,P16471,Prolactin receptor,PRLR
DB00054,Abciximab,biotech,approved,P05106,Integrin beta-3,ITGB3
DB00054,Abciximab,biotech,approved,P08514,Integrin alpha-IIb,ITGA2B
DB00054,Abciximab,biotech,approved,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00054,Abciximab,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00054,Abciximab,biotech,approved,P04004,Vitronectin,VTN
DB00055,Drotrecogin alfa,biotech,approved,P00451,Coagulation factor VIII,F8
DB00055,Drotrecogin alfa,biotech,approved,P12259,Coagulation factor V,F5
DB00055,Drotrecogin alfa,biotech,approved,P05121,Plasminogen activator inhibitor 1,SERPINE1
DB00055,Drotrecogin alfa,biotech,approved,P07204,Thrombomodulin,THBD
DB00055,Drotrecogin alfa,biotech,approved,P07225,Vitamin K-dependent protein S,PROS1
DB00055,Drotrecogin alfa,biotech,approved,P00734,Prothrombin,F2
